Timestamp,Username,Process Name,Process Command Line,Process ID
Wed Jul 07 2021 01:08:48 GMT-0600 (Mountain Daylight Time),austin,Google Chrome Helper,Google Chrome Helper,50132
Wed Jul 07 2021 01:08:49 GMT-0600 (Mountain Daylight Time),_windowserver,WindowServer,WindowServer,542
Wed Jul 07 2021 01:08:49 GMT-0600 (Mountain Daylight Time),austin,Code Helper (Renderer),Code Helper (Renderer),17117
Wed Jul 07 2021 01:09:00 GMT-0600 (Mountain Daylight Time),_windowserver,WindowServer,WindowServer,542
Wed Jul 07 2021 01:09:01 GMT-0600 (Mountain Daylight Time),_windowserver,WindowServer,WindowServer,542
Wed Jul 07 2021 01:09:02 GMT-0600 (Mountain Daylight Time),austin,node main.js,node main.js,85464
Wed Jul 07 2021 01:09:03 GMT-0600 (Mountain Daylight Time),_windowserver,WindowServer,WindowServer,542
Wed Jul 07 2021 01:09:05 GMT-0600 (Mountain Daylight Time),_windowserver,WindowServer,WindowServer,542
Wed Jul 07 2021 01:09:10 GMT-0600 (Mountain Daylight Time),_windowserver,WindowServer,WindowServer,542
Wed Jul 07 2021 01:09:10 GMT-0600 (Mountain Daylight Time),_windowserver,WindowServer,WindowServer,542
Wed Jul 07 2021 01:09:11 GMT-0600 (Mountain Daylight Time),austin,Terminal,Terminal,65772
Wed Jul 07 2021 01:09:11 GMT-0600 (Mountain Daylight Time),austin,Electron,Electron,16859
Wed Jul 07 2021 01:09:11 GMT-0600 (Mountain Daylight Time),austin,Code Helper (Renderer),Code Helper (Renderer),17117
Wed Jul 07 2021 01:09:11 GMT-0600 (Mountain Daylight Time),root,RTProtectionDaemon,RTProtectionDaemon,6149
Wed Jul 07 2021 01:09:11 GMT-0600 (Mountain Daylight Time),austin,AdobeCRDaemon 1491 Creative Cloud Helper 5.4.3,AdobeCRDaemon 1491 Creative Cloud Helper 5.4.3,1493
Wed Jul 07 2021 01:09:11 GMT-0600 (Mountain Daylight Time),austin,AdobeCRDaemon 1453 Adobe Desktop Service 5.4.3,AdobeCRDaemon 1453 Adobe Desktop Service 5.4.3,1480
Wed Jul 07 2021 01:09:11 GMT-0600 (Mountain Daylight Time),austin,AdobeCRDaemon 1469 Creative Cloud Helper 5.4.3,AdobeCRDaemon 1469 Creative Cloud Helper 5.4.3,1472
